id,job_1,job_2,job_3,lifetime,KK value,label
1,8.79E-02,1.58E+00,6.47E-02,0.577167,9.224985,warning-kk
2,3.99E-01,8.92E-01,2.24E-01,0.660066,,
3,1.35E+00,1.16E-01,2.24E-01,0.591716,,
4,5.88E-05,1.71E-02,4.25E-03,46.709764,,
5,3.16E+02,1.01E+03,5.15E+02,0.000543,,
6,1.58E-03,1.42E-03,8.49E-04,259.807742,11.495604,warning-kk
7,5.35E+02,1.38E+03,1.20E+03,0.000321,13.263455,warning-kk
8,7.48E+03,7.35E+01,7.59E+01,0.000131,13.127479,warning-kk
11,6.73E-04,6.31E-04,1.29E-03,385.505012,14.661868,warning-kk
12,8.02E-05,1.18E-04,1.24E-06,5014.03931,7.515133,warning-kk
13,5.17E-02,8.63E-02,3.72E-04,7.226896,10.741254,warning-kk
14,2.94E-03,6.02E-04,5.54E-01,1.793587,8.190173,warning-kk
15,4.89E-04,4.34E-04,5.30E-01,1.883512,8.656524,warning-kk
16,2.32E+00,4.83E-03,1.38E-03,0.429884,7.558309,warning-kk
17,9.56E-04,5.37E-01,4.84E-05,1.858721,27.486218,warning-kk
18,3.90E-03,4.67E-03,7.49E-05,115.675138,,
19,7.47E-04,7.08E-05,1.54E-01,6.459206,,
20,1.62E-02,2.18E-02,4.01E+01,0.024914,,
21,1.90E-02,6.56E-04,1.06E-06,50.872307,,
22,5.45E-05,1.69E-02,8.37E-03,39.487453,,
23,1.26E-01,6.60E-03,6.59E-03,7.184424,,
24,4.02E-02,2.62E-03,6.87E-03,20.124774,8.279913,warning-kk
25,3.80E-04,9.45E-05,6.73E-04,871.459695,,
26,8.29E-03,9.51E-04,1.02E-03,97.456388,,
27,7.80E-04,1.88E-03,1.18E-04,359.971202,,
28,7.02E+00,2.20E-02,1.38E+00,0.118737,7.765711,warning-kk
29,1.62E-01,8.26E-02,2.28E-03,4.050551,,
30,4.54E-02,8.59E-04,2.50E-04,21.501215,,
31,4.11E-02,1.81E-02,1.52E-02,13.44086,,
32,1.05E-03,1.14E-03,8.99E-04,323.729362,,
33,6.80E-02,1.95E-01,4.08E-01,1.490313,,
34,1.05E-02,1.00E-03,7.22E-05,86.413992,,
35,2.44E+00,5.13E-02,1.82E-01,0.37407,,
36,5.41E+02,1.25E+00,2.15E+02,0.001321,,
37,1.23E+00,5.06E-02,6.26E-01,0.524494,,
38,8.27E-03,1.76E-03,3.06E-04,96.749226,,
39,1.34E+00,3.64E+00,4.96E+01,0.018322,12.705113,warning-kk
40,4.15E+01,1.75E+01,3.78E+02,0.002288,,
41,4.05E-03,2.25E-03,7.37E-03,73.15289,,
42,1.84E-02,2.24E-02,2.25E-02,15.797788,,
43,1.34E+00,1.21E+00,9.73E-01,0.283849,,
44,1.85E-01,5.49E-02,2.79E-01,1.927154,,
45,3.76E-03,1.02E-03,1.79E-03,152.207002,,
46,1.29E+01,1.35E+00,4.83E+01,0.015987,,
47,2.55E+02,1.63E+00,3.26E+01,0.003457,,
48,1.51E+01,1.13E+02,1.31E+02,0.00386,,
49,1.07E+03,2.58E+03,1.11E+01,0.000273,7.53798,warning-kk
50,4.66E-01,1.52E-02,3.73E-01,1.170686,,
51,1.48E-03,1.46E-03,2.07E-04,317.762949,,
52,4.71E-03,2.19E-03,1.97E-03,112.739572,,
53,1.86E-01,1.88E-01,1.46E-02,2.57334,,
54,5.23E-04,2.19E-04,1.14E-05,1327.316167,8.23096,warning-kk
55,5.98E-04,1.29E-04,3.86E-06,1368.251101,7.532314,warning-kk
56,3.85E-04,1.10E-04,2.96E-02,33.228111,,
57,2.03E-01,8.36E-02,4.81E-03,3.431591,,
58,3.09E-02,5.91E-02,8.60E-02,5.681818,,
59,3.28E+00,9.46E-02,1.01E+00,0.228071,10.8851,warning-kk
60,3.58E+00,4.53E-01,1.87E+01,0.043989,,
61,1.34E+00,3.24E+00,1.88E-01,0.209732,,
62,1.50E-01,2.27E-01,1.85E-03,2.639567,,
63,3.44E-02,1.83E-01,5.38E-01,1.323802,8.18878,warning-kk
64,2.80E+00,4.41E+00,1.44E-01,0.13598,13.828915,warning-kk
66,3.51E-05,2.50E-02,7.87E-04,38.726517,7.115324,warning-kk
67,1.27E-04,4.10E-03,6.33E-03,94.72388,8.178408,warning-kk
