id,job_1,job_2,job_3,lifetime,KK value,label,
1,1.92E-01,1.76E+01,8.72E+01,0.009524535,,,
2,5.58E+02,7.20E+00,4.20E+02,0.001015022,5.333155,warning-kk,
3,4.82E-01,6.84E-02,3.59E+01,0.027434541,7.104963,warning-kk,
4,5.35E+00,5.88E+00,6.93E+02,0.001419991,,,
5,3.56E-01,7.43E+00,9.89E+03,0.000101033,8.178012,warning-kk,
6,1.55E-02,4.89E-04,1.24E+00,0.796185317,,,
7,2.28E+00,7.58E+00,2.49E+02,0.003863092,,,
8,4.89E-01,3.02E+00,2.20E+00,0.175162025,,,
9,6.32E+00,3.85E+01,7.94E+01,0.008050233,,,
10,3.43E+00,9.76E+01,2.69E+02,0.002702484,,,
11,1.09E+00,1.63E-02,3.83E+02,0.002603446,,,
12,7.02E+00,1.08E+00,1.70E+01,0.039840637,9.667323,warning-kk,
13,1.54E+03,1.60E+03,1.55E+03,0.00021322,8.613049,warning-kk,
15,1.22E-02,1.76E-02,1.48E-02,22.42152466,19.37628,warning-kk,
16,3.60E-01,1.68E-01,5.65E-02,1.710863986,11.478276,warning-kk,
17,1.89E-01,1.36E-01,1.28E-01,2.207505519,6.845048,warning-kk,
18,1.08E-01,3.26E-01,2.29E-01,1.508295626,9.635286,warning-kk,
19,5.90E+00,5.52E-01,5.09E-01,0.14365752,14.378518,warning-kk,
20,1.60E+00,6.00E+00,1.18E+00,0.113895216,27.784287,warning-kk,
21,1.08E+02,1.21E+01,5.29E+01,0.005780347,,,
22,4.25E+01,5.75E+00,3.55E+01,0.011940299,6.633624,warning-kk,
23,7.87E+01,5.23E+00,1.50E+02,0.004274783,12.227731,warning-kk,
24,4.78E+02,1.10E+02,6.58E+02,0.000802568,16.287555,warning-kk,
25,3.99E-03,2.08E-03,1.04E-01,9.085127646,14.615092,warning-kk,
26,3.88E+01,1.60E+01,6.40E+02,0.001439263,20.157135,warning-kk,
